time_s,beam_id,policy,offered_payload_mbps,offered_ip_mbps,virtual_backlog_mb,allocated_channels,beam_capacity_mbps,estimated_served_mb,estimated_utilization,ewma_served_mbps
100.000000,7,round_robin,3.200000,3.289600,6.066600,3,3.300000,0.412500,1.000000,3.137884
100.000000,8,round_robin,3.200000,3.289600,6.067900,3,3.300000,0.412500,1.000000,3.097355
100.000000,9,round_robin,3.200000,3.289600,6.069200,3,3.300000,0.412500,1.000000,3.046694
100.000000,10,round_robin,3.200000,3.289600,6.193700,3,3.300000,0.412500,1.000000,2.983367
100.000000,11,round_robin,3.200000,3.289600,6.331200,3,3.300000,0.412500,1.000000,2.904209
100.000000,12,round_robin,3.200000,3.289600,6.468700,3,3.300000,0.412500,1.000000,2.805261
100.000000,13,round_robin,3.200000,3.289600,6.606200,3,3.300000,0.412500,1.000000,2.681577
100.000000,14,round_robin,3.200000,3.289600,6.743700,3,3.300000,0.412500,1.000000,2.526971
100.000000,15,round_robin,3.200000,3.289600,6.881200,2,2.200000,0.275000,1.000000,2.333714
100.000000,16,round_robin,3.200000,3.289600,6.881200,2,2.200000,0.275000,1.000000,2.367142
100.000000,17,round_robin,3.200000,3.289600,6.881200,2,2.200000,0.275000,1.000000,2.408928
100.000000,18,round_robin,3.200000,3.289600,6.881200,2,2.200000,0.275000,1.000000,2.461160
101.000000,0,round_robin,12.000000,12.336000,122.221500,2,2.200000,0.275000,1.000000,2.461160
101.000000,1,round_robin,3.200000,3.289600,6.745000,2,2.200000,0.275000,1.000000,2.526450
101.000000,2,round_robin,3.200000,3.289600,6.608800,2,2.200000,0.275000,1.000000,2.608062
101.000000,3,round_robin,3.200000,3.289600,6.472600,2,2.200000,0.275000,1.000000,2.710078
101.000000,4,round_robin,3.200000,3.289600,6.336400,2,2.200000,0.275000,1.000000,2.837597
101.000000,5,round_robin,3.200000,3.289600,6.200200,2,2.200000,0.275000,1.000000,2.996997
101.000000,6,round_robin,3.200000,3.289600,6.064000,3,3.300000,0.412500,1.000000,3.196246
101.000000,7,round_robin,3.200000,3.289600,6.065300,3,3.300000,0.412500,1.000000,3.170307
101.000000,8,round_robin,3.200000,3.289600,6.066600,3,3.300000,0.412500,1.000000,3.137884
101.000000,9,round_robin,3.200000,3.289600,6.067900,3,3.300000,0.412500,1.000000,3.097355
101.000000,10,round_robin,3.200000,3.289600,6.192400,3,3.300000,0.412500,1.000000,3.046694
101.000000,11,round_robin,3.200000,3.289600,6.329900,3,3.300000,0.412500,1.000000,2.983367
101.000000,12,round_robin,3.200000,3.289600,6.467400,3,3.300000,0.412500,1.000000,2.904209
101.000000,13,round_robin,3.200000,3.289600,6.604900,3,3.300000,0.412500,1.000000,2.805261
101.000000,14,round_robin,3.200000,3.289600,6.742400,3,3.300000,0.412500,1.000000,2.681577
101.000000,15,round_robin,3.200000,3.289600,6.879900,3,3.300000,0.412500,1.000000,2.526971
101.000000,16,round_robin,3.200000,3.289600,7.017400,2,2.200000,0.275000,1.000000,2.333714
101.000000,17,round_robin,3.200000,3.289600,7.017400,2,2.200000,0.275000,1.000000,2.367142
101.000000,18,round_robin,3.200000,3.289600,7.017400,2,2.200000,0.275000,1.000000,2.408928
102.000000,0,round_robin,12.000000,12.336000,123.488500,2,2.200000,0.275000,1.000000,2.408928
102.000000,1,round_robin,3.200000,3.289600,6.881200,2,2.200000,0.275000,1.000000,2.461160
102.000000,2,round_robin,3.200000,3.289600,6.745000,2,2.200000,0.275000,1.000000,2.526450
102.000000,3,round_robin,3.200000,3.289600,6.608800,2,2.200000,0.275000,1.000000,2.608062
102.000000,4,round_robin,3.200000,3.289600,6.472600,2,2.200000,0.275000,1.000000,2.710078
102.000000,5,round_robin,3.200000,3.289600,6.336400,2,2.200000,0.275000,1.000000,2.837597
102.000000,6,round_robin,3.200000,3.289600,6.200200,2,2.200000,0.275000,1.000000,2.996997
102.000000,7,round_robin,3.200000,3.289600,6.064000,3,3.300000,0.412500,1.000000,3.196246
102.000000,8,round_robin,3.200000,3.289600,6.065300,3,3.300000,0.412500,1.000000,3.170307
102.000000,9,round_robin,3.200000,3.289600,6.066600,3,3.300000,0.412500,1.000000,3.137884
102.000000,10,round_robin,3.200000,3.289600,6.191100,3,3.300000,0.412500,1.000000,3.097355
102.000000,11,round_robin,3.200000,3.289600,6.328600,3,3.300000,0.412500,1.000000,3.046694
102.000000,12,round_robin,3.200000,3.289600,6.466100,3,3.300000,0.412500,1.000000,2.983367
102.000000,13,round_robin,3.200000,3.289600,6.603600,3,3.300000,0.412500,1.000000,2.904209
102.000000,14,round_robin,3.200000,3.289600,6.741100,3,3.300000,0.412500,1.000000,2.805261
102.000000,15,round_robin,3.200000,3.289600,6.878600,3,3.300000,0.412500,1.000000,2.681577
102.000000,16,round_robin,3.200000,3.289600,7.016100,3,3.300000,0.412500,1.000000,2.526971
102.000000,17,round_robin,3.200000,3.289600,7.153600,2,2.200000,0.275000,1.000000,2.333714
102.000000,18,round_robin,3.200000,3.289600,7.153600,2,2.200000,0.275000,1.000000,2.367142
103.000000,0,round_robin,12.000000,12.336000,124.755500,2,2.200000,0.275000,1.000000,2.367142
103.000000,1,round_robin,3.200000,3.289600,7.017400,2,2.200000,0.275000,1.000000,2.408928
103.000000,2,round_robin,3.200000,3.289600,6.881200,2,2.200000,0.275000,1.000000,2.461160
103.000000,3,round_robin,3.200000,3.289600,6.745000,2,2.200000,0.275000,1.000000,2.526450
103.000000,4,round_robin,3.200000,3.289600,6.608800,2,2.200000,0.275000,1.000000,2.608062
103.000000,5,round_robin,3.200000,3.289600,6.472600,2,2.200000,0.275000,1.000000,2.710078
103.000000,6,round_robin,3.200000,3.289600,6.336400,2,2.200000,0.275000,1.000000,2.837597
103.000000,7,round_robin,3.200000,3.289600,6.200200,2,2.200000,0.275000,1.000000,2.996997
103.000000,8,round_robin,3.200000,3.289600,6.064000,3,3.300000,0.412500,1.000000,3.196246
103.000000,9,round_robin,3.200000,3.289600,6.065300,3,3.300000,0.412500,1.000000,3.170307
103.000000,10,round_robin,3.200000,3.289600,6.189800,3,3.300000,0.412500,1.000000,3.137884
103.000000,11,round_robin,3.200000,3.289600,6.327300,3,3.300000,0.412500,1.000000,3.097355
103.000000,12,round_robin,3.200000,3.289600,6.464800,3,3.300000,0.412500,1.000000,3.046694
103.000000,13,round_robin,3.200000,3.289600,6.602300,3,3.300000,0.412500,1.000000,2.983367
103.000000,14,round_robin,3.200000,3.289600,6.739800,3,3.300000,0.412500,1.000000,2.904209
103.000000,15,round_robin,3.200000,3.289600,6.877300,3,3.300000,0.412500,1.000000,2.805261
103.000000,16,round_robin,3.200000,3.289600,7.014800,3,3.300000,0.412500,1.000000,2.681577
103.000000,17,round_robin,3.200000,3.289600,7.152300,3,3.300000,0.412500,1.000000,2.526971
103.000000,18,round_robin,3.200000,3.289600,7.289800,2,2.200000,0.275000,1.000000,2.333714
104.000000,0,round_robin,12.000000,12.336000,126.022500,2,2.200000,0.275000,1.000000,2.333714
104.000000,1,round_robin,3.200000,3.289600,7.153600,2,2.200000,0.275000,1.000000,2.367142
104.000000,2,round_robin,3.200000,3.289600,7.017400,2,2.200000,0.275000,1.000000,2.408928
104.000000,3,round_robin,3.200000,3.289600,6.881200,2,2.200000,0.275000,1.000000,2.461160
104.000000,4,round_robin,3.200000,3.289600,6.745000,2,2.200000,0.275000,1.000000,2.526450
104.000000,5,round_robin,3.200000,3.289600,6.608800,2,2.200000,0.275000,1.000000,2.608062
104.000000,6,round_robin,3.200000,3.289600,6.472600,2,2.200000,0.275000,1.000000,2.710078
104.000000,7,round_robin,3.200000,3.289600,6.336400,2,2.200000,0.275000,1.000000,2.837597
104.000000,8,round_robin,3.200000,3.289600,6.200200,2,2.200000,0.275000,1.000000,2.996997
104.000000,9,round_robin,3.200000,3.289600,6.064000,3,3.300000,0.412500,1.000000,3.196246
104.000000,10,round_robin,3.200000,3.289600,6.188500,3,3.300000,0.412500,1.000000,3.170307
104.000000,11,round_robin,3.200000,3.289600,6.326000,3,3.300000,0.412500,1.000000,3.137884
104.000000,12,round_robin,3.200000,3.289600,6.463500,3,3.300000,0.412500,1.000000,3.097355
104.000000,13,round_robin,3.200000,3.289600,6.601000,3,3.300000,0.412500,1.000000,3.046694
104.000000,14,round_robin,3.200000,3.289600,6.738500,3,3.300000,0.412500,1.000000,2.983367
104.000000,15,round_robin,3.200000,3.289600,6.876000,3,3.300000,0.412500,1.000000,2.904209
104.000000,16,round_robin,3.200000,3.289600,7.013500,3,3.300000,0.412500,1.000000,2.805261
104.000000,17,round_robin,3.200000,3.289600,7.151000,3,3.300000,0.412500,1.000000,2.681577
104.000000,18,round_robin,3.200000,3.289600,7.288500,3,3.300000,0.412500,1.000000,2.526971
105.000000,0,round_robin,12.000000,12.336000,127.152000,3,3.300000,0.412500,1.000000,2.526971
105.000000,1,round_robin,3.200000,3.289600,7.289800,2,2.200000,0.275000,1.000000,2.333714
105.000000,2,round_robin,3.200000,3.289600,7.153600,2,2.200000,0.275000,1.000000,2.367142
105.000000,3,round_robin,3.200000,3.289600,7.017400,2,2.200000,0.275000,1.000000,2.408928
105.000000,4,round_robin,3.200000,3.289600,6.881200,2,2.200000,0.275000,1.000000,2.461160
105.000000,5,round_robin,3.200000,3.289600,6.745000,2,2.200000,0.275000,1.000000,2.526450
105.000000,6,round_robin,3.200000,3.289600,6.608800,2,2.200000,0.275000,1.000000,2.608062
105.000000,7,round_robin,3.200000,3.289600,6.472600,2,2.200000,0.275000,1.000000,2.710078
105.000000,8,round_robin,3.200000,3.289600,6.336400,2,2.200000,0.275000,1.000000,2.837597
105.000000,9,round_robin,3.200000,3.289600,6.200200,2,2.200000,0.275000,1.000000,2.996997
105.000000,10,round_robin,3.200000,3.289600,6.187200,3,3.300000,0.412500,1.000000,3.196246
105.000000,11,round_robin,3.200000,3.289600,6.324700,3,3.300000,0.412500,1.000000,3.170307
105.000000,12,round_robin,3.200000,3.289600,6.462200,3,3.300000,0.412500,1.000000,3.137884
105.000000,13,round_robin,3.200000,3.289600,6.599700,3,3.300000,0.412500,1.000000,3.097355
105.000000,14,round_robin,3.200000,3.289600,6.737200,3,3.300000,0.412500,1.000000,3.046694
105.000000,15,round_robin,3.200000,3.289600,6.874700,3,3.300000,0.412500,1.000000,2.983367
105.000000,16,round_robin,3.200000,3.289600,7.012200,3,3.300000,0.412500,1.000000,2.904209
105.000000,17,round_robin,3.200000,3.289600,7.149700,3,3.300000,0.412500,1.000000,2.805261
105.000000,18,round_robin,3.200000,3.289600,7.287200,3,3.300000,0.412500,1.000000,2.681577
106.000000,0,round_robin,12.000000,12.336000,128.281500,3,3.300000,0.412500,1.000000,2.681577
106.000000,1,round_robin,3.200000,3.289600,7.288500,3,3.300000,0.412500,1.000000,2.526971
106.000000,2,round_robin,3.200000,3.289600,7.289800,2,2.200000,0.275000,1.000000,2.333714
106.000000,3,round_robin,3.200000,3.289600,7.153600,2,2.200000,0.275000,1.000000,2.367142
106.000000,4,round_robin,3.200000,3.289600,7.017400,2,2.200000,0.275000,1.000000,2.408928
106.000000,5,round_robin,3.200000,3.289600,6.881200,2,2.200000,0.275000,1.000000,2.461160
106.000000,6,round_robin,3.200000,3.289600,6.745000,2,2.200000,0.275000,1.000000,2.526450
106.000000,7,round_robin,3.200000,3.289600,6.608800,2,2.200000,0.275000,1.000000,2.608062
106.000000,8,round_robin,3.200000,3.289600,6.472600,2,2.200000,0.275000,1.000000,2.710078
106.000000,9,round_robin,3.200000,3.289600,6.336400,2,2.200000,0.275000,1.000000,2.837597
106.000000,10,round_robin,3.200000,3.289600,6.323400,2,2.200000,0.275000,1.000000,2.996997
106.000000,11,round_robin,3.200000,3.289600,6.323400,3,3.300000,0.412500,1.000000,3.196246
106.000000,12,round_robin,3.200000,3.289600,6.460900,3,3.300000,0.412500,1.000000,3.170307
106.000000,13,round_robin,3.200000,3.289600,6.598400,3,3.300000,0.412500,1.000000,3.137884
106.000000,14,round_robin,3.200000,3.289600,6.735900,3,3.300000,0.412500,1.000000,3.097355
106.000000,15,round_robin,3.200000,3.289600,6.873400,3,3.300000,0.412500,1.000000,3.046694
106.000000,16,round_robin,3.200000,3.289600,7.010900,3,3.300000,0.412500,1.000000,2.983367
106.000000,17,round_robin,3.200000,3.289600,7.148400,3,3.300000,0.412500,1.000000,2.904209
