beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,rx_mbps_observed_window,measurement_window_s,demand_satisfaction,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps,ewma_served_mbps,scenario,is_hotspot
2,greedy_backlog,2.4,2.4672,2.467063,2.392204,123.75514,0.999944,35998,35998,0,1.0,0.0,593.181313,0.3418,1,1.1,2.17583,heavy_controlled,False
3,greedy_backlog,2.4,2.4672,2.466926,2.416557,122.5012,0.999889,35996,35996,0,1.0,0.0,541.212428,0.1709,1,1.1,2.444787,heavy_controlled,False
4,greedy_backlog,2.4,2.4672,2.466857,2.416555,122.497867,0.999861,35995,35995,0,1.0,0.0,581.263359,0.1709,1,1.1,2.444787,heavy_controlled,False
5,greedy_backlog,2.4,2.4672,2.46672,2.466832,119.99457,0.999806,35993,35993,0,1.0,0.0,535.683005,0.0,6,6.6,2.780984,heavy_controlled,False
6,greedy_backlog,2.4,2.4672,2.466652,2.466827,119.991486,0.999778,35992,35992,0,1.0,0.0,574.863849,0.0,5,5.5,2.780984,heavy_controlled,False
7,greedy_backlog,2.4,2.4672,2.466515,2.466832,119.98457,0.999722,35990,35990,0,1.0,0.0,872.997529,0.0,6,6.6,2.952575,heavy_controlled,False
8,greedy_backlog,2.4,2.4672,2.464047,2.366332,124.955275,0.998722,35989,35954,0,0.999027,0.000973,953.883296,0.5127,1,1.1,2.048518,heavy_controlled,False
9,greedy_backlog,2.4,2.4672,2.464047,2.366438,124.94971,0.998722,35987,35954,0,0.999083,0.000917,946.784705,0.5127,1,1.1,2.048518,heavy_controlled,False
10,greedy_backlog,2.4,2.4672,2.46391,2.366393,124.945129,0.998667,35986,35952,0,0.999055,0.000945,950.524382,0.5127,1,1.1,2.048518,heavy_controlled,False
11,greedy_backlog,2.4,2.4672,2.466103,2.38742,123.954911,0.999556,35984,35984,0,1.0,0.0,935.102621,0.3418,1,1.1,2.285648,heavy_controlled,False
12,greedy_backlog,2.4,2.4672,2.466035,2.387445,123.950184,0.999528,35983,35983,0,1.0,0.0,921.328584,0.3418,1,1.1,2.285648,heavy_controlled,False
13,greedy_backlog,2.4,2.4672,2.465898,2.387561,123.937275,0.999472,35981,35981,0,1.0,0.0,919.790557,0.3418,1,1.1,2.285648,heavy_controlled,False
14,greedy_backlog,2.4,2.4672,2.465829,2.411436,122.70679,0.999444,35980,35980,0,1.0,0.0,912.63249,0.1709,1,1.1,2.58206,heavy_controlled,False
15,greedy_backlog,2.4,2.4672,2.465692,2.411678,122.687639,0.999389,35978,35978,0,1.0,0.0,909.844292,0.1709,1,1.1,2.58206,heavy_controlled,False
16,greedy_backlog,2.4,2.4672,2.465624,2.411431,122.69679,0.999361,35977,35977,0,1.0,0.0,912.861006,0.1709,1,1.1,2.58206,heavy_controlled,False
17,greedy_backlog,2.4,2.4672,2.465487,2.466832,119.93457,0.999306,35975,35975,0,1.0,0.0,893.552019,0.0,6,6.6,2.952575,heavy_controlled,False
18,greedy_backlog,2.4,2.4672,2.465418,2.466832,119.931236,0.999278,35974,35974,0,1.0,0.0,896.062285,0.0,6,6.6,2.952575,heavy_controlled,False
0,longest_queue_first,10.0,10.28,1.602583,6.410362,29.99987,0.155893,150000,23384,122507,0.155893,0.844107,5269.098819,55.2,6,6.6,6.6,heavy_controlled,True
1,longest_queue_first,2.4,2.4672,2.467131,2.459189,120.387564,0.999972,35999,35999,0,1.0,0.0,122.898386,0.0668,2,2.2,2.410256,heavy_controlled,False
2,longest_queue_first,2.4,2.4672,2.467063,2.459189,120.384231,0.999944,35998,35998,0,1.0,0.0,122.892039,0.0668,2,2.2,2.410256,heavy_controlled,False
3,longest_queue_first,2.4,2.4672,2.466926,2.459188,120.377564,0.999889,35996,35996,0,1.0,0.0,122.879398,0.0668,2,2.2,2.410256,heavy_controlled,False
4,longest_queue_first,2.4,2.4672,2.466857,2.459188,120.374231,0.999861,35995,35995,0,1.0,0.0,122.873103,0.0668,2,2.2,2.410256,heavy_controlled,False
5,longest_queue_first,2.4,2.4672,2.46672,2.459188,120.367564,0.999806,35993,35993,0,1.0,0.0,122.869612,0.0668,2,2.2,2.410256,heavy_controlled,False
6,longest_queue_first,2.4,2.4672,2.466652,2.459187,120.364231,0.999778,35992,35992,0,1.0,0.0,122.854316,0.0668,2,2.2,2.410256,heavy_controlled,False
7,longest_queue_first,2.4,2.4672,2.466515,2.461716,120.233928,0.999722,35990,35990,0,1.0,0.0,120.347479,0.0334,2,2.2,2.46282,heavy_controlled,False
8,longest_queue_first,2.4,2.4672,2.466446,2.461716,120.230595,0.999694,35989,35989,0,1.0,0.0,120.350198,0.0334,2,2.2,2.46282,heavy_controlled,False
9,longest_queue_first,2.4,2.4672,2.466309,2.461715,120.223928,0.999639,35987,35987,0,1.0,0.0,120.355636,0.0334,2,2.2,2.46282,heavy_controlled,False
10,longest_queue_first,2.4,2.4672,2.466241,2.461715,120.220595,0.999611,35986,35986,0,1.0,0.0,120.358356,0.0334,2,2.2,2.46282,heavy_controlled,False
11,longest_queue_first,2.4,2.4672,2.466103,2.461715,120.213928,0.999556,35984,35984,0,1.0,0.0,120.363795,0.0334,2,2.2,2.46282,heavy_controlled,False
12,longest_queue_first,2.4,2.4672,2.466035,2.461715,120.210595,0.999528,35983,35983,0,1.0,0.0,120.366515,0.0334,2,2.2,2.46282,heavy_controlled,False
13,longest_queue_first,2.4,2.4672,2.465898,2.466806,119.955818,0.999472,35981,35981,0,1.0,0.0,118.835857,0.0,3,3.3,2.528525,heavy_controlled,False
14,longest_queue_first,2.4,2.4672,2.465829,2.466806,119.952485,0.999444,35980,35980,0,1.0,0.0,118.834235,0.0,3,3.3,2.528525,heavy_controlled,False
15,longest_queue_first,2.4,2.4672,2.465692,2.466806,119.945818,0.999389,35978,35978,0,1.0,0.0,118.831039,0.0,3,3.3,2.528525,heavy_controlled,False
16,longest_queue_first,2.4,2.4672,2.465624,2.466806,119.942485,0.999361,35977,35977,0,1.0,0.0,118.829467,0.0,3,3.3,2.528525,heavy_controlled,False
17,longest_queue_first,2.4,2.4672,2.465487,2.466806,119.935818,0.999306,35975,35975,0,1.0,0.0,118.83059,0.0,3,3.3,2.528525,heavy_controlled,False
18,longest_queue_first,2.4,2.4672,2.465418,2.466806,119.932485,0.999278,35974,35974,0,1.0,0.0,118.824853,0.0,3,3.3,2.528525,heavy_controlled,False
0,proportional_fair,10.0,10.28,1.602583,6.410362,29.99987,0.155893,150000,23384,122507,0.155893,0.844107,5269.098819,55.2,6,6.6,6.6,heavy_controlled,True
1,proportional_fair,2.4,2.4672,2.467131,2.459189,120.387564,0.999972,35999,35999,0,1.0,0.0,122.898386,0.0668,2,2.2,2.410256,heavy_controlled,False
2,proportional_fair,2.4,2.4672,2.467063,2.459189,120.384231,0.999944,35998,35998,0,1.0,0.0,122.892039,0.0668,2,2.2,2.410256,heavy_controlled,False
3,proportional_fair,2.4,2.4672,2.466926,2.459188,120.377564,0.999889,35996,35996,0,1.0,0.0,122.879398,0.0668,2,2.2,2.410256,heavy_controlled,False
4,proportional_fair,2.4,2.4672,2.466857,2.459188,120.374231,0.999861,35995,35995,0,1.0,0.0,122.873103,0.0668,2,2.2,2.410256,heavy_controlled,False
5,proportional_fair,2.4,2.4672,2.46672,2.459188,120.367564,0.999806,35993,35993,0,1.0,0.0,122.869612,0.0668,2,2.2,2.410256,heavy_controlled,False
6,proportional_fair,2.4,2.4672,2.466652,2.459187,120.364231,0.999778,35992,35992,0,1.0,0.0,122.854316,0.0668,2,2.2,2.410256,heavy_controlled,False
7,proportional_fair,2.4,2.4672,2.466515,2.461716,120.233928,0.999722,35990,35990,0,1.0,0.0,120.347479,0.0334,2,2.2,2.46282,heavy_controlled,False
8,proportional_fair,2.4,2.4672,2.466446,2.461716,120.230595,0.999694,35989,35989,0,1.0,0.0,120.350198,0.0334,2,2.2,2.46282,heavy_controlled,False
9,proportional_fair,2.4,2.4672,2.466309,2.461715,120.223928,0.999639,35987,35987,0,1.0,0.0,120.355636,0.0334,2,2.2,2.46282,heavy_controlled,False
10,proportional_fair,2.4,2.4672,2.466241,2.461715,120.220595,0.999611,35986,35986,0,1.0,0.0,120.358356,0.0334,2,2.2,2.46282,heavy_controlled,False
11,proportional_fair,2.4,2.4672,2.466103,2.461715,120.213928,0.999556,35984,35984,0,1.0,0.0,120.363795,0.0334,2,2.2,2.46282,heavy_controlled,False
12,proportional_fair,2.4,2.4672,2.466035,2.461715,120.210595,0.999528,35983,35983,0,1.0,0.0,120.366515,0.0334,2,2.2,2.46282,heavy_controlled,False
13,proportional_fair,2.4,2.4672,2.465898,2.466806,119.955818,0.999472,35981,35981,0,1.0,0.0,118.835857,0.0,3,3.3,2.528525,heavy_controlled,False
14,proportional_fair,2.4,2.4672,2.465829,2.466806,119.952485,0.999444,35980,35980,0,1.0,0.0,118.834235,0.0,3,3.3,2.528525,heavy_controlled,False
15,proportional_fair,2.4,2.4672,2.465692,2.466806,119.945818,0.999389,35978,35978,0,1.0,0.0,118.831039,0.0,3,3.3,2.528525,heavy_controlled,False
16,proportional_fair,2.4,2.4672,2.465624,2.466806,119.942485,0.999361,35977,35977,0,1.0,0.0,118.829467,0.0,3,3.3,2.528525,heavy_controlled,False
17,proportional_fair,2.4,2.4672,2.465487,2.466806,119.935818,0.999306,35975,35975,0,1.0,0.0,118.83059,0.0,3,3.3,2.528525,heavy_controlled,False
18,proportional_fair,2.4,2.4672,2.465418,2.466806,119.932485,0.999278,35974,35974,0,1.0,0.0,118.824853,0.0,3,3.3,2.528525,heavy_controlled,False
0,round_robin,10.0,10.28,0.301341,2.583055,13.999287,0.029313,150000,4397,143937,0.029313,0.970687,5933.094255,112.8125,2,2.2,2.52645,heavy_controlled,True
1,round_robin,2.4,2.4672,2.467131,2.454148,120.634838,0.999972,35999,35999,0,1.0,0.0,331.961168,0.1336,2,2.2,2.332911,heavy_controlled,False
2,round_robin,2.4,2.4672,2.467063,2.456666,120.507868,0.999944,35998,35998,0,1.0,0.0,327.324447,0.1002,2,2.2,2.366139,heavy_controlled,False
3,round_robin,2.4,2.4672,2.466926,2.459188,120.377564,0.999889,35996,35996,0,1.0,0.0,323.726228,0.0668,2,2.2,2.407673,heavy_controlled,False
4,round_robin,2.4,2.4672,2.466857,2.461717,120.250595,0.999861,35995,35995,0,1.0,0.0,321.149788,0.0334,2,2.2,2.459592,heavy_controlled,False
5,round_robin,2.4,2.4672,2.46672,2.466806,119.995818,0.999806,35993,35993,0,1.0,0.0,319.087995,0.0,3,3.3,2.52449,heavy_controlled,False
6,round_robin,2.4,2.4672,2.466652,2.466806,119.992485,0.999778,35992,35992,0,1.0,0.0,319.096236,0.0,3,3.3,2.538812,heavy_controlled,False
7,round_robin,2.4,2.4672,2.466515,2.466806,119.985818,0.999722,35990,35990,0,1.0,0.0,319.112718,0.0,3,3.3,2.556715,heavy_controlled,False
8,round_robin,2.4,2.4672,2.466446,2.466806,119.982485,0.999694,35989,35989,0,1.0,0.0,319.12096,0.0,3,3.3,2.579094,heavy_controlled,False
9,round_robin,2.4,2.4672,2.466309,2.466806,119.975818,0.999639,35987,35987,0,1.0,0.0,319.137445,0.0,3,3.3,2.607068,heavy_controlled,False
10,round_robin,2.4,2.4672,2.466241,2.466806,119.972485,0.999611,35986,35986,0,1.0,0.0,319.145688,0.0,3,3.3,2.642034,heavy_controlled,False
11,round_robin,2.4,2.4672,2.466103,2.466806,119.965818,0.999556,35984,35984,0,1.0,0.0,319.718118,0.0,3,3.3,2.685743,heavy_controlled,False
12,round_robin,2.4,2.4672,2.466035,2.466806,119.962485,0.999528,35983,35983,0,1.0,0.0,321.482147,0.0,3,3.3,2.740379,heavy_controlled,False
13,round_robin,2.4,2.4672,2.465898,2.466806,119.955818,0.999472,35981,35981,0,1.0,0.0,324.46876,0.0924,3,3.3,2.623873,heavy_controlled,False
14,round_robin,2.4,2.4672,2.465829,2.461861,120.193433,0.999444,35980,35980,0,1.0,0.0,327.695755,0.1965,3,3.3,2.454842,heavy_controlled,False
15,round_robin,2.4,2.4672,2.465692,2.441622,121.183021,0.999389,35978,35978,0,1.0,0.0,336.222742,0.3006,2,2.2,2.243552,heavy_controlled,False
16,round_robin,2.4,2.4672,2.465624,2.444114,121.056051,0.999361,35977,35977,0,1.0,0.0,333.024117,0.2672,2,2.2,2.25444,heavy_controlled,False
17,round_robin,2.4,2.4672,2.465487,2.446612,120.925747,0.999306,35975,35975,0,1.0,0.0,332.074854,0.2338,2,2.2,2.26805,heavy_controlled,False
18,round_robin,2.4,2.4672,2.465418,2.449116,120.798778,0.999278,35974,35974,0,1.0,0.0,333.321805,0.2004,2,2.2,2.285063,heavy_controlled,False
0,equal,4.0,4.112,1.44482,3.152432,54.998285,0.351367,60000,21082,36912,0.351367,0.648633,5264.712433,12.18,3,3.3,3.3,light,True
1,equal,1.2,1.2336,1.2336,1.233437,120.015836,1.0,18000,18000,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
2,equal,1.2,1.2336,1.233531,1.233437,120.00917,0.999944,17999,17999,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
3,equal,1.2,1.2336,1.233463,1.233437,120.002503,0.999889,17998,17998,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
4,equal,1.2,1.2336,1.233394,1.233437,119.995836,0.999833,17997,17997,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
5,equal,1.2,1.2336,1.233394,1.233437,119.995836,0.999833,17997,17997,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
6,equal,1.2,1.2336,1.233326,1.233437,119.98917,0.999778,17996,17996,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
7,equal,1.2,1.2336,1.233257,1.233437,119.982503,0.999722,17995,17995,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
8,equal,1.2,1.2336,1.233189,1.233437,119.975836,0.999667,17994,17994,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
9,equal,1.2,1.2336,1.233189,1.233437,119.975836,0.999667,17994,17994,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
10,equal,1.2,1.2336,1.23312,1.233424,119.970418,0.999611,17993,17993,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
11,equal,1.2,1.2336,1.233052,1.233424,119.963751,0.999556,17992,17992,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
12,equal,1.2,1.2336,1.232983,1.233424,119.957085,0.9995,17991,17991,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
13,equal,1.2,1.2336,1.232983,1.233424,119.957085,0.9995,17991,17991,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
14,equal,1.2,1.2336,1.232915,1.233424,119.950418,0.999444,17990,17990,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
15,equal,1.2,1.2336,1.232846,1.233424,119.943751,0.999389,17989,17989,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
16,equal,1.2,1.2336,1.232778,1.233424,119.937085,0.999333,17988,17988,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
17,equal,1.2,1.2336,1.232778,1.233424,119.937085,0.999333,17988,17988,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
18,equal,1.2,1.2336,1.232709,1.233424,119.930418,0.999278,17987,17987,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
0,greedy_backlog,4.0,4.112,4.112,4.111341,120.019248,1.0,60000,60000,0,1.0,0.0,21.248485,0.0,6,6.6,4.112,light,True
1,greedy_backlog,1.2,1.2336,1.2336,1.233437,120.015836,1.0,18000,18000,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
2,greedy_backlog,1.2,1.2336,1.233531,1.233437,120.00917,0.999944,17999,17999,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
3,greedy_backlog,1.2,1.2336,1.233463,1.233437,120.002503,0.999889,17998,17998,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
4,greedy_backlog,1.2,1.2336,1.233394,1.233437,119.995836,0.999833,17997,17997,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
5,greedy_backlog,1.2,1.2336,1.233394,1.233437,119.995836,0.999833,17997,17997,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
6,greedy_backlog,1.2,1.2336,1.233326,1.233437,119.98917,0.999778,17996,17996,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
7,greedy_backlog,1.2,1.2336,1.233257,1.230858,120.233945,0.999722,17995,17995,0,1.0,0.0,55.851345,0.0167,1,1.1,1.218756,light,False
8,greedy_backlog,1.2,1.2336,1.233189,1.230858,120.227279,0.999667,17994,17994,0,1.0,0.0,55.853199,0.0167,1,1.1,1.218756,light,False
9,greedy_backlog,1.2,1.2336,1.233189,1.230858,120.227279,0.999667,17994,17994,0,1.0,0.0,55.404686,0.0167,1,1.1,1.218756,light,False
10,greedy_backlog,1.2,1.2336,1.23312,1.230857,120.220612,0.999611,17993,17993,0,1.0,0.0,55.840434,0.0167,1,1.1,1.218756,light,False
11,greedy_backlog,1.2,1.2336,1.233052,1.230857,120.213945,0.999556,17992,17992,0,1.0,0.0,55.842287,0.0167,1,1.1,1.218756,light,False
12,greedy_backlog,1.2,1.2336,1.232983,1.230857,120.207279,0.9995,17991,17991,0,1.0,0.0,55.836921,0.0167,1,1.1,1.218756,light,False
13,greedy_backlog,1.2,1.2336,1.232983,1.233437,119.955836,0.9995,17991,17991,0,1.0,0.0,53.309326,0.0,3,3.3,1.248444,light,False
14,greedy_backlog,1.2,1.2336,1.232915,1.233437,119.94917,0.999444,17990,17990,0,1.0,0.0,53.759926,0.0,3,3.3,1.248444,light,False
15,greedy_backlog,1.2,1.2336,1.232846,1.233437,119.942503,0.999389,17989,17989,0,1.0,0.0,53.761664,0.0,3,3.3,1.248444,light,False
16,greedy_backlog,1.2,1.2336,1.232778,1.233437,119.935836,0.999333,17988,17988,0,1.0,0.0,53.763402,0.0,3,3.3,1.248444,light,False
17,greedy_backlog,1.2,1.2336,1.232778,1.233437,119.935836,0.999333,17988,17988,0,1.0,0.0,53.314465,0.0,3,3.3,1.248444,light,False
18,greedy_backlog,1.2,1.2336,1.232709,1.233437,119.92917,0.999278,17987,17987,0,1.0,0.0,53.76514,0.0,3,3.3,1.248444,light,False
0,longest_queue_first,4.0,4.112,4.112,4.111341,120.019248,1.0,60000,60000,0,1.0,0.0,21.248485,0.0,6,6.6,4.112,light,True
1,longest_queue_first,1.2,1.2336,1.2336,1.233437,120.015836,1.0,18000,18000,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
2,longest_queue_first,1.2,1.2336,1.233531,1.233437,120.00917,0.999944,17999,17999,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
3,longest_queue_first,1.2,1.2336,1.233463,1.233437,120.002503,0.999889,17998,17998,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
4,longest_queue_first,1.2,1.2336,1.233394,1.233437,119.995836,0.999833,17997,17997,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
5,longest_queue_first,1.2,1.2336,1.233394,1.233437,119.995836,0.999833,17997,17997,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
6,longest_queue_first,1.2,1.2336,1.233326,1.233437,119.98917,0.999778,17996,17996,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
7,longest_queue_first,1.2,1.2336,1.233257,1.233424,119.983751,0.999722,17995,17995,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
8,longest_queue_first,1.2,1.2336,1.233189,1.233424,119.977085,0.999667,17994,17994,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
9,longest_queue_first,1.2,1.2336,1.233189,1.233424,119.977085,0.999667,17994,17994,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
10,longest_queue_first,1.2,1.2336,1.23312,1.233424,119.970418,0.999611,17993,17993,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
11,longest_queue_first,1.2,1.2336,1.233052,1.233424,119.963751,0.999556,17992,17992,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
12,longest_queue_first,1.2,1.2336,1.232983,1.233424,119.957085,0.9995,17991,17991,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
13,longest_queue_first,1.2,1.2336,1.232983,1.233424,119.957085,0.9995,17991,17991,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
14,longest_queue_first,1.2,1.2336,1.232915,1.233424,119.950418,0.999444,17990,17990,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
15,longest_queue_first,1.2,1.2336,1.232846,1.233424,119.943751,0.999389,17989,17989,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
16,longest_queue_first,1.2,1.2336,1.232778,1.233424,119.937085,0.999333,17988,17988,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
17,longest_queue_first,1.2,1.2336,1.232778,1.233424,119.937085,0.999333,17988,17988,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
18,longest_queue_first,1.2,1.2336,1.232709,1.233424,119.930418,0.999278,17987,17987,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
0,proportional_fair,4.0,4.112,4.112,4.111341,120.019248,1.0,60000,60000,0,1.0,0.0,21.248485,0.0,6,6.6,4.112,light,True
1,proportional_fair,1.2,1.2336,1.2336,1.233437,120.015836,1.0,18000,18000,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
2,proportional_fair,1.2,1.2336,1.233531,1.233437,120.00917,0.999944,17999,17999,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
3,proportional_fair,1.2,1.2336,1.233463,1.233437,120.002503,0.999889,17998,17998,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
4,proportional_fair,1.2,1.2336,1.233394,1.233437,119.995836,0.999833,17997,17997,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
5,proportional_fair,1.2,1.2336,1.233394,1.233437,119.995836,0.999833,17997,17997,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
6,proportional_fair,1.2,1.2336,1.233326,1.233437,119.98917,0.999778,17996,17996,0,1.0,0.0,22.49697,0.0,3,3.3,1.2336,light,False
7,proportional_fair,1.2,1.2336,1.233257,1.233424,119.983751,0.999722,17995,17995,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
8,proportional_fair,1.2,1.2336,1.233189,1.233424,119.977085,0.999667,17994,17994,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
9,proportional_fair,1.2,1.2336,1.233189,1.233424,119.977085,0.999667,17994,17994,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
10,proportional_fair,1.2,1.2336,1.23312,1.233424,119.970418,0.999611,17993,17993,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
11,proportional_fair,1.2,1.2336,1.233052,1.233424,119.963751,0.999556,17992,17992,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
12,proportional_fair,1.2,1.2336,1.232983,1.233424,119.957085,0.9995,17991,17991,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
13,proportional_fair,1.2,1.2336,1.232983,1.233424,119.957085,0.9995,17991,17991,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
14,proportional_fair,1.2,1.2336,1.232915,1.233424,119.950418,0.999444,17990,17990,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
15,proportional_fair,1.2,1.2336,1.232846,1.233424,119.943751,0.999389,17989,17989,0,1.0,0.0,23.745455,0.0,2,2.2,1.2336,light,False
