beam_id,offered_payload_mbps,offered_ip_mbps,rx_mbps,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,measurement_window_s
0,4.000000,4.112000,4.110710,30000,30000,0,1.000000,0.000000,20.824000,60.018824
1,4.000000,4.112000,4.110710,29998,29998,0,1.000000,0.000000,20.824000,60.014824
2,4.000000,4.112000,4.110710,29995,29995,0,1.000000,0.000000,20.824000,60.008824
3,4.000000,4.112000,4.110710,29993,29993,0,1.000000,0.000000,20.824000,60.004824
4,4.000000,4.112000,4.110710,29990,29990,0,1.000000,0.000000,20.824000,59.998824
5,4.000000,4.112000,4.110710,29988,29988,0,1.000000,0.000000,20.824000,59.994824
6,4.000000,4.112000,4.110710,29985,29985,0,1.000000,0.000000,20.824000,59.988824
