beam_id,offered_payload_mbps,offered_ip_mbps,rx_mbps,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,measurement_window_s
0,12.000000,12.336000,12.331936,90000,90000,0,1.000000,0.000000,20.412000,60.019775
1,4.000000,4.112000,4.110738,29998,29998,0,1.000000,0.000000,20.412000,60.014412
2,4.000000,4.112000,4.110738,29995,29995,0,1.000000,0.000000,20.412000,60.008412
3,4.000000,4.112000,4.110738,29993,29993,0,1.000000,0.000000,20.412000,60.004412
4,4.000000,4.112000,4.110738,29990,29990,0,1.000000,0.000000,20.412000,59.998412
5,4.000000,4.112000,4.110738,29988,29988,0,1.000000,0.000000,20.412000,59.994412
6,4.000000,4.112000,4.110738,29985,29985,0,1.000000,0.000000,20.412000,59.988412
